source_id	slug	name	language	source_file	tags	default_volume	review_note
core-zh-cn-sleep-onset	zh_bedtime_release	睡前放松	zh-CN	core-zh-cn-sleep-onset-audio.mp3	中文,睡前,呼吸	65	Edge TTS output rights require commercial review
core-zh-cn-back-to-sleep	zh_return_to_sleep	夜醒回睡	zh-CN	core-zh-cn-back-to-sleep-audio.mp3	中文,夜醒,放松	65	Edge TTS output rights require commercial review
topic-zh-cn-zh-CN-sleep-racing-mind-guided-1783443552551-0	zh_thoughts_slowing	思绪放缓	zh-CN	topic-zh-cn-zh-CN-sleep-racing-mind-guided-1783443552551-0-audio.mp3	中文,思绪,睡前	62	Script passed prohibited medical-claim scan; output rights pending
topic-zh-cn-zh-CN-anxiety-three-minute-guided-1783443552551-1	zh_three_minute_grounding	三分钟安定	zh-CN	topic-zh-cn-zh-CN-anxiety-three-minute-guided-1783443552551-1-audio.mp3	中文,安定,呼吸	62	Script passed prohibited medical-claim scan; output rights pending
track-meditation-foundation-body-scan-zh-cn-1783442142487-0	zh_body_scan	身体扫描	zh-CN	track-meditation-foundation-body-scan-zh-cn-1783442142487-0-audio.mp3	中文,身体扫描,正念	62	Edge TTS output rights require commercial review
core-en-us-sleep-onset	en_bedtime_release	Bedtime Release	en-US	core-en-us-sleep-onset-rainfall-deep-sleep-reset.mp3	English,Bedtime,Breath	65	Edge TTS output rights require commercial review
core-en-us-back-to-sleep	en_return_to_sleep	Return to Sleep	en-US	core-en-us-back-to-sleep-midnight-wake-back-to-sleep.mp3	English,Night waking,Rest	65	Edge TTS output rights require commercial review
topic-en-us-en-US-racing-thoughts-bedtime-guided-1783455532509-0	en_thoughts_slowing	Thoughts Slowing	en-US	topic-en-us-en-US-racing-thoughts-bedtime-guided-1783455532509-0-racing-thoughts-at-bedtime.mp3	English,Thoughts,Bedtime	62	Script passed prohibited medical-claim scan; output rights pending
topic-en-us-en-US-three-minute-anxiety-reset-guided-1783455532509-1	en_three_minute_grounding	Three-Minute Grounding	en-US	topic-en-us-en-US-three-minute-anxiety-reset-guided-1783455532509-1-three-minute-anxiety-reset.mp3	English,Grounding,Breath	62	Script passed prohibited medical-claim scan; output rights pending
topic-en-us-en-US-workday-burnout-cooldown-guided-1783455532509-2	en_workday_release	Workday Release	en-US	topic-en-us-en-US-workday-burnout-cooldown-guided-1783455532509-2-workday-burnout-cooldown.mp3	English,Workday,Release	62	Script passed prohibited medical-claim scan; output rights pending
