candidate_id	source_platform	source_title	source_url	preview_url	license_name	license_url	content_type	voice_presence	product_scene	product_fit_hypothesis	local_path	file_sha256	file_size_bytes	duration_seconds	codec	sample_rate	channels	mean_volume_db	max_volume_db	candidate_status	qa_notes
b06pf_freesound_pink_noise_meditation_332565	Freesound	Pink Noise for Meditation and Sleep	https://freesound.org/people/011-_11919_1-1011111/sounds/332565/	https://cdn.freesound.org/previews/332/332565_5850523-hq.mp3	Creative Commons 0	http://creativecommons.org/publicdomain/zero/1.0/	soft_noise_bed	none	sleep_onset,return_to_sleep,focus	Pink noise can support sleep or low-distraction focus if loudness and harshness are controlled; ignore any medical claims.	public/audio/candidates/batch-06/product-fit/b06pf_freesound_pink_noise_meditation_332565.mp3	5ce1227ef34e2f1a5a28f481e86c860e8002de79f2ce0b895ad6655b970308f9	622178	32.00	mp3	44100	2	-37.0	-3.3	downloaded_product_fit_candidate	Downloaded as a product-fit replacement candidate after rejecting isolated ASMR foley. Requires listening QA before any promotion; no seed or routing.
b06pf_commons_rain_window_pd_001	Wikimedia Commons	Rain against the window	https://commons.wikimedia.org/wiki/File:Rain_against_the_window.ogg	https://upload.wikimedia.org/wikipedia/commons/4/41/Rain_against_the_window.ogg	Public domain	https://commons.wikimedia.org/wiki/File:Rain_against_the_window.ogg	soft_rain_window	none	sleep_onset,return_to_sleep,emotional_calming	Rain against a window is a direct sleep and calming bed if listening confirms no people, harsh transients, or loop fatigue.	public/audio/candidates/batch-06/product-fit/b06pf_commons_rain_window_pd_001.ogg	85be295e9936fbf003ae5dbc0e106b77e60854ea4b19bfb7b232420f291a737e	1208332	81.66				-31.0	-9.9	downloaded_product_fit_candidate	Downloaded as a product-fit replacement candidate after rejecting isolated ASMR foley. Requires listening QA before any promotion; no seed or routing.
b06pf_commons_veranda_rain_thunder_pd_003	Wikimedia Commons	Rain on a veranda and thunder	https://commons.wikimedia.org/wiki/File:Rain_on_a_veranda_and_t.ogg	https://upload.wikimedia.org/wikipedia/commons/7/7c/Rain_on_a_veranda_and_t.ogg	Public domain	https://commons.wikimedia.org/wiki/File:Rain_on_a_veranda_and_t.ogg	rain_thunder_candidate	none	emotional_calming	Veranda rain may be calming, but thunder needs explicit startle review and likely excludes sleep routing.	public/audio/candidates/batch-06/product-fit/b06pf_commons_veranda_rain_thunder_pd_003.ogg	b4e11d463d1bc4675937a3fd927f9171599bf1474e10c03afffd7e42162c9b40	395253	29.99				-30.2	-8.4	downloaded_product_fit_candidate	Downloaded as a product-fit replacement candidate after rejecting isolated ASMR foley. Requires listening QA before any promotion; no seed or routing.
b06pf_commons_meditation_suk_pd_004	Wikimedia Commons	Josef Suk - Meditation Op 35a	https://commons.wikimedia.org/wiki/File:Josef_Suk_-_Meditation_Op_35a.ogg	https://upload.wikimedia.org/wikipedia/commons/f/f5/Josef_Suk_-_Meditation_Op_35a.ogg	Public domain	https://commons.wikimedia.org/wiki/File:Josef_Suk_-_Meditation_Op_35a.ogg	calm_music	none	emotional_calming	A public-domain meditation-labeled string work may fit emotional calming, but likely too foreground for sleep or focus unless mixed very low.	public/audio/candidates/batch-06/product-fit/b06pf_commons_meditation_suk_pd_004.ogg	f8ccd6c0b58ce8c17f63c958dbd29dbc81e267016cb43b49b319f5373829d2ef	12883999	405.46	vorbis	44100	2	-21.6	-0.8	downloaded_product_fit_candidate	Downloaded as a product-fit replacement candidate after rejecting isolated ASMR foley. Requires listening QA before any promotion; no seed or routing.
b06pf_commons_sound_of_rain_005	Wikimedia Commons	Sound of rain	https://commons.wikimedia.org/wiki/File:Sound_of_rain.ogg	https://commons.wikimedia.org/wiki/Special:FilePath/Sound%20of%20rain.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Sound_of_rain.ogg	soft_rain_bed	none	sleep_onset,return_to_sleep,emotional_calming	General rain recording; product fit depends on steadiness and absence of people or harsh events.	public/audio/candidates/batch-06/product-fit/b06pf_commons_sound_of_rain_005.ogg	1cde527e87b77510b532eb60dc5c2d429bf4342f0d9d293f1e7b8c6751a77073	431968	26.39	vorbis	44100	1	-42.2	-17.0	downloaded_product_fit_candidate_license_review_needed	Downloaded via Wikimedia Commons Special:FilePath as product-fit candidate. Requires Commons page license check, listening QA, and no seed/routing.
b06pf_commons_light_rainfall_006	Wikimedia Commons	Sound of light rainfall	https://commons.wikimedia.org/wiki/File:Sound_of_light_rainfall.ogg	https://commons.wikimedia.org/wiki/Special:FilePath/Sound%20of%20light%20rainfall.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Sound_of_light_rainfall.ogg	soft_rain_bed	none	sleep_onset,return_to_sleep,emotional_calming	Light rainfall is likely sleep/calm relevant if it is steady and clean.	public/audio/candidates/batch-06/product-fit/b06pf_commons_light_rainfall_006.ogg	e0233652d8173650149adcf3d6e5ddc01b73e8a93ce61b8d7809abfe582251a8	647064	60.26	vorbis	44100	2	-22.9	-0.5	downloaded_product_fit_candidate_license_review_needed	Downloaded via Wikimedia Commons Special:FilePath as product-fit candidate. Requires Commons page license check, listening QA, and no seed/routing.
b06pf_commons_falling_rain_sfx_008	Wikimedia Commons	Falling Rain SFX	https://commons.wikimedia.org/wiki/File:Falling_Rain_SFX_1_2016-11-19.oga	https://commons.wikimedia.org/wiki/Special:FilePath/Falling%20Rain%20SFX%201%202016-11-19.oga	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Falling_Rain_SFX_1_2016-11-19.oga	soft_rain_bed	none	sleep_onset,return_to_sleep,emotional_calming	Rain SFX may be useful as a clean bed if it does not feel synthetic or loop-fatiguing.	public/audio/candidates/batch-06/product-fit/b06pf_commons_falling_rain_sfx_008.oga	ff75d835f492055dc0590a4a56a73be8d90e0088e39a2142b84c4b9b3ee33855	64799693	4333.52	vorbis	44100	2	-40.4	-13.9	downloaded_product_fit_candidate_license_review_needed	Downloaded via Wikimedia Commons Special:FilePath as product-fit candidate. Requires Commons page license check, listening QA, and no seed/routing.
b06pf_commons_rain_roof_009	Wikimedia Commons	Rain on tiled roof	https://commons.wikimedia.org/wiki/File:Regen_op_een_pannendak_-_SoundCloud_-_Beeld_en_Geluid.ogg	https://commons.wikimedia.org/wiki/Special:FilePath/Regen%20op%20een%20pannendak%20-%20SoundCloud%20-%20Beeld%20en%20Geluid.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Regen_op_een_pannendak_-_SoundCloud_-_Beeld_en_Geluid.ogg	soft_rain_roof	none	sleep_onset,return_to_sleep,emotional_calming	Rain on a roof can be strong sleep material if no voices, traffic, or abrupt events are present.	public/audio/candidates/batch-06/product-fit/b06pf_commons_rain_roof_009.ogg	fde6229f3af03a9524036176356d79085bc789f229649a2804fe48d3eb6795d0	44104335	651.64	vorbis	96000	2	-31.2	0.0	downloaded_product_fit_candidate_license_review_needed	Downloaded via Wikimedia Commons Special:FilePath as product-fit candidate. Requires Commons page license check, listening QA, and no seed/routing.
b06pf_commons_dripping_rain_010	Wikimedia Commons	Rain with dripping water	https://commons.wikimedia.org/wiki/File:Regen_met_druipwater_-_SoundCloud_-_Beeld_en_Geluid.ogg	https://commons.wikimedia.org/wiki/Special:FilePath/Regen%20met%20druipwater%20-%20SoundCloud%20-%20Beeld%20en%20Geluid.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Regen_met_druipwater_-_SoundCloud_-_Beeld_en_Geluid.ogg	soft_rain_drip	none	emotional_calming	Dripping rain may be calming but needs review for repetitive drip annoyance and water sensitivity.	public/audio/candidates/batch-06/product-fit/b06pf_commons_dripping_rain_010.ogg	9048bd5c4ceaa34e2e0b3d6533e0b5bf6cd497dbd3d0cfbc3cb4923cf9f5716e	29700968	372.64	vorbis	96000	2	-30.5	-1.1	downloaded_product_fit_candidate_license_review_needed	Downloaded via Wikimedia Commons Special:FilePath as product-fit candidate. Requires Commons page license check, listening QA, and no seed/routing.
b06pf_commons_gray_noise_012	Wikimedia Commons	Gray noise	https://commons.wikimedia.org/wiki/File:Gray_noise.ogg	https://commons.wikimedia.org/wiki/Special:FilePath/Gray%20noise.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Gray_noise.ogg	soft_noise_bed	none	sleep_onset,return_to_sleep,focus	Gray noise may be softer than white noise for sleep/focus, pending harshness review.	public/audio/candidates/batch-06/product-fit/b06pf_commons_gray_noise_012.ogg	43e733d5597ac4f221cd303d6515c459e1ac07d9e8eae5ac71fb1bb646018e35	161696	10.00	vorbis	48000	1	-12.8	-1.0	downloaded_product_fit_candidate_license_review_needed	Downloaded via Wikimedia Commons Special:FilePath as product-fit candidate. Requires Commons page license check, listening QA, and no seed/routing.
