listen_order	stem_id	category	name	audio_url	duration_seconds	integrated_lufs	true_peak_db	license_name	attribution_required	qa_status	review_focus	review_decision	review_notes
01	stem_mixkit_music_583	Music	Crystal Meditation	/audio/music/batch-03/crystal_meditation.mp3	297.462	-12.77	-0.11	Mixkit Stock Music Free License	false	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. Confirm platform claim / Content ID risk before approval.	pending	
02	stem_mixkit_music_31	Music	Dreaming Soft Piano	/audio/music/batch-03/dreaming_big_soft_piano.mp3	110.384	-12.34	-0.02	Mixkit Stock Music Free License	false	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. Confirm platform claim / Content ID risk before approval.	pending	
03	stem_batch07_incompetech_meditation_impromptu_01	Music	Meditation Impromptu 01	/audio/candidates/batch-07/remediated-music/incompetech_meditation_impromptu_01.remediated.mp3	212.793	-18.50	-1.95	CC BY 4.0	true	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. CC-BY attribution must remain visible in published works and share pages before approval. Confirm platform claim / Content ID risk before approval.	pending	
04	stem_batch07_incompetech_meditation_impromptu_02	Music	Meditation Impromptu 02	/audio/candidates/batch-07/remediated-music/incompetech_meditation_impromptu_02.remediated.mp3	249.078	-18.58	-1.96	CC BY 4.0	true	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. CC-BY attribution must remain visible in published works and share pages before approval. Confirm platform claim / Content ID risk before approval.	pending	
05	stem_batch07_incompetech_meditation_impromptu_03	Music	Meditation Impromptu 03	/audio/candidates/batch-07/remediated-music/incompetech_meditation_impromptu_03.remediated.mp3	255.217	-18.90	-1.96	CC BY 4.0	true	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. CC-BY attribution must remain visible in published works and share pages before approval. Confirm platform claim / Content ID risk before approval.	pending	
06	stem_mixkit_music_340	Music	Nap Time Pad	/audio/music/batch-03/nap_time_pad.mp3	103.225	-13.29	-0.93	Mixkit Stock Music Free License	false	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. Confirm platform claim / Content ID risk before approval.	pending	
07	stem_mixkit_music_22	Music	Piano Reflections	/audio/music/batch-03/piano_reflections.mp3	198.857	-12.99	0.70	Mixkit Stock Music Free License	false	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. Confirm platform claim / Content ID risk before approval.	pending	
08	stem_mixkit_music_599	Music	Possible Dreams Piano	/audio/music/batch-03/possible_dreams.mp3	159.313	-11.33	-0.11	Mixkit Stock Music Free License	false	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. Confirm platform claim / Content ID risk before approval.	pending	
09	stem_mixkit_music_522	Music	Relaxing Nature Guitar	/audio/music/batch-03/relaxing_nature_guitar.mp3	97.027	-5.62	1.80	Mixkit Stock Music Free License	false	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. Confirm platform claim / Content ID risk before approval.	pending	
10	stem_mixkit_music_759	Music	Soft Evening Guitar	/audio/music/batch-03/romantic_soft_guitar.mp3	112.013	-16.46	0.52	Mixkit Stock Music Free License	false	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. Confirm platform claim / Content ID risk before approval.	pending	
11	stem_batch07_scott_buckley_solace	Music	Solace	/audio/candidates/batch-07/remediated-music/scott_buckley_solace.remediated.mp3	356.356	-17.37	-2.00	CC BY 4.0	true	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. CC-BY attribution must remain visible in published works and share pages before approval. Confirm platform claim / Content ID risk before approval.	pending	
12	stem_mixkit_music_139	Music	Spirit Woods Drone	/audio/music/batch-03/spirit_woods_drone.mp3	113.215	-14.83	-1.53	Mixkit Stock Music Free License	false	needs_review	Confirm this is calm, sleep, focus, or meditation music rather than dramatic, eerie, busy, or emotionally pushy audio. Check melody density, loop fatigue, sudden transitions, and whether it can sit under optional guided voice. Confirm platform claim / Content ID risk before approval.	pending	
