stem_id	category	name	review_status	reviewer	reviewed_at	notes
stem_mixkit_music_583	Music	Crystal Meditation	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires technical and platform-risk gates before promotion.
stem_mixkit_music_31	Music	Dreaming Soft Piano	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires technical and platform-risk gates before promotion.
stem_batch07_incompetech_meditation_impromptu_01	Music	Meditation Impromptu 01	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. CC BY attribution path required.
stem_batch07_incompetech_meditation_impromptu_02	Music	Meditation Impromptu 02	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. CC BY attribution path required.
stem_batch07_incompetech_meditation_impromptu_03	Music	Meditation Impromptu 03	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. CC BY attribution path required.
stem_mixkit_music_340	Music	Nap Time Pad	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires technical and platform-risk gates before promotion.
stem_mixkit_music_22	Music	Piano Reflections	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires technical and platform-risk gates before promotion.
stem_mixkit_music_599	Music	Possible Dreams Piano	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires technical and platform-risk gates before promotion.
stem_mixkit_music_522	Music	Relaxing Nature Guitar	rejected	user_production_review	2026-07-13	User explicitly rejected this asset in production QA: "Relaxing Nature Guitar except this one, the others are OK."
stem_mixkit_music_759	Music	Soft Evening Guitar	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires technical and platform-risk gates before promotion.
stem_batch07_scott_buckley_solace	Music	Solace	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. CC BY attribution path required.
stem_mixkit_music_139	Music	Spirit Woods Drone	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires technical and platform-risk gates before promotion.
stem_mixkit_music_184	Music	Vastness Ambient Pad	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires technical and platform-risk gates before promotion.
stem_mixkit_17	Nature	Birds Singing in Trees	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires duration/loop/product routing caution before promotion.
stem_mixkit_1329	Nature	Burning Campfire Crackles	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires duration/loop/product routing caution before promotion.
stem_mixkit_2397	Nature	Clear Rain Thunderstorm	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. True peak exceeds 0 dBTP; fix before promotion.
stem_mixkit_2399	Nature	Heavy Rain Drops	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. Still requires duration/loop/product routing caution before promotion.
stem_mixkit_2390	Nature	Rain and Thunder Storm	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. True peak near 0 dBTP and thunder/startle risk require fix or restricted routing.
stem_mixkit_1194	Nature	Rough Sea Waves	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. True peak near 0 dBTP; fix before promotion.
stem_mixkit_1181	Nature	Sea Swimming Loop	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. True peak exceeds 0 dBTP; fix before promotion.
stem_mixkit_2402	Nature	Thunderstorm Rain Loop	listening_pass	user_production_review	2026-07-13	User reported all pending production QA assets OK except Relaxing Nature Guitar. True peak near 0 dBTP and thunder/startle risk require fix or restricted routing.
