listen_order	candidate_id	machine_status	category	scene_family	source_title	local_path	duration_seconds	max_volume_db	review_focus	listening_status	listening_notes
01	b05_commons_004	pass	Accent	bell	File:Synthetic bell sound.ogg	public/audio/candidates/batch-05/open-audio/04_synthetic_bell_sound.ogg	15.00	-1.6	reject if any audible human voice; check attack/decay and event trim point	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
02	b05_commons_001	pass	Accent	bowl	File:SingingBowl1.ogg	public/audio/candidates/batch-05/open-audio/01_singingbowl1.ogg	12.80	-9.6	reject if any audible human voice; check attack/decay and event trim point	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
03	b05_commons_002	pass	Accent	bowl	File:SingingBowl2.ogg	public/audio/candidates/batch-05/open-audio/02_singingbowl2.ogg	9.33	-10.4	reject if any audible human voice; check attack/decay and event trim point	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
04	b04_mixkit_2475	pass	Nature	crickets	Crickets at Night	public/audio/nature/batch-04/crickets_at_night.wav	90.13	-9.8	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
05	b04_mixkit_1784	pass	Nature	crickets	River Shore with Crickets	public/audio/nature/batch-04/river_shore_crickets.wav	37.02	-15	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
06	b04_mixkit_1227	pass	Nature	crickets	Summer Night Forest	public/audio/nature/batch-04/summer_night_forest.wav	126.00	-12.7	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
07	b04_mixkit_1782	pass	Nature	crickets	Swamp Night Crickets	public/audio/nature/batch-04/swamp_night_crickets.wav	33.74	-15.7	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
08	b04_mixkit_39	pass	Nature	crickets	Wild Crickets and Insects	public/audio/nature/batch-04/wild_crickets_insects.wav	26.01	-11.9	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
09	b04_mixkit_1736	pass	Nature	fire	Campfire with Night Wind	public/audio/nature/batch-04/campfire_night_wind.wav	30.75	-0.6	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
10	b04_mixkit_1216	pass	Nature	forest	Forest River with Birds	public/audio/nature/batch-04/forest_river_birds.wav	95.00	-12.2	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
11	b04_mixkit_2434	pass	Nature	forest	Jungle Birds	public/audio/nature/batch-04/jungle_birds.wav	60.83	-11.5	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
12	b04_mixkit_2414	pass	Nature	forest	Night Forest Insects	public/audio/nature/batch-04/night_forest_insects.wav	84.00	-5.7	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
13	b04_mixkit_2466	pass	Nature	forest	Owl in the Forest	public/audio/nature/batch-04/forest_owl.wav	90.14	-10.8	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
14	b04_mixkit_2456	pass	Nature	forest	Wildlife by the River	public/audio/nature/batch-04/wildlife_river.wav	121.73	-9	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
15	b04_mixkit_1238	pass	Nature	forest	Windy Forest with Birds	public/audio/nature/batch-04/windy_forest_birds.wav	125.35	-5.4	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
16	b04_mixkit_1206	pass	Nature	ocean	Coast Breaking Waves	public/audio/nature/batch-04/coast_breaking_waves.wav	120.15	-0.5	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
17	b04_mixkit_2415	pass	Nature	rain	Calm Jungle Thunderstorm	public/audio/nature/batch-04/calm_jungle_thunderstorm.wav	49.00	-1.6	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
18	b04_mixkit_2431	pass	Nature	rain	Jungle Rain with Birds	public/audio/nature/batch-04/jungle_rain_birds.wav	30.17	-7.3	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
19	b04_mixkit_2473	pass	Nature	water	Birds Near the River	public/audio/nature/batch-04/birds_near_river.wav	90.13	-20.8	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
20	b04_mixkit_1785	pass	Nature	water	River Shore Insects	public/audio/nature/batch-04/river_shore_insects.wav	60.09	-5.7	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
21	b04_mixkit_2515	pass	Nature	waterfall	Big Waterfall Loop	public/audio/nature/batch-04/big_waterfall_loop.wav	26.81	-2.5	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
22	b04_mixkit_2518	pass	Nature	waterfall	Flowing Waterfall	public/audio/nature/batch-04/flowing_waterfall.wav	65.15	-2	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
23	b04_mixkit_2514	pass	Nature	waterfall	Forest Waterfall Loop	public/audio/nature/batch-04/forest_waterfall_loop.wav	25.00	-1.5	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
24	b04_mixkit_3030	pass	Nature	waterfall	Large Waterfall Loop	public/audio/nature/batch-04/large_waterfall_loop.wav	72.00	-3.3	reject if any audible human voice; check loop/repetition fatigue	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported.
25	b05_commons_003	warn	Accent	bell	File:Striking a bell 15cm large.ogg	public/audio/candidates/batch-05/open-audio/03_striking_a_bell_15cm_large.ogg	60.89	-0.8	reject if any audible human voice; check attack/decay and event trim point; accent is long; trim or event-window QA required	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported. Machine warning still requires technical handling: accent is long; trim or event-window QA required.
26	b04_mixkit_1329	warn	Nature	fire	Burning Campfire Crackles	public/audio/nature/batch-04/burning_campfire.wav	14.08	-20.7	reject if any audible human voice; check loop/repetition fatigue; nature bed is short; loop fatigue QA required; very quiet source; silence/noise-floor QA required	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported. Machine warning still requires technical handling: nature bed is short; loop fatigue QA required; very quiet source; silence/noise-floor QA required.
27	b04_mixkit_17	warn	Nature	forest	Birds Singing in Trees	public/audio/nature/batch-04/birds_in_trees.wav	8.33	-13.7	reject if any audible human voice; check loop/repetition fatigue; nature bed is short; loop fatigue QA required	approved_no_human_voice	2026-07-13 project-owner: content reviewed and no audible human voice concern reported. Machine warning still requires technical handling: nature bed is short; loop fatigue QA required.
