candidate_id	search_id	source_platform	source_title	source_url	license_name	content_type	voice_presence	recommended_scene	status	reject_terms_hit	review_notes
b06_pixabay_asmr_index	b06_pixabay_tapping	Pixabay	Pixabay ASMR sound effects search	https://pixabay.com/sound-effects/search/asmr/	Pixabay Content License	mixed	mixed	calm,sleep	source_review	 mouth sounds wet	Search page reports hundreds of ASMR results including tapping, rain, mouth sounds, and wet tags. Use as discovery only; do not import mouth/wet/random voice.
b06_pixabay_tapping_index	b06_pixabay_tapping	Pixabay	Pixabay ASMR tapping sound effects search	https://pixabay.com/sound-effects/search/asmr%20tapping/	Pixabay Content License	asmr_foley	none	calm,focus	source_review		Search page reports many tapping results. Candidate examples include cardboard/plastic tapping; verify each item page and reject voice/mouth content.
b06_pixabay_scribbling_index	b06_pixabay_paper	Pixabay	Pixabay scribbling sound effects search	https://pixabay.com/sound-effects/search/scribbling/	Pixabay Content License	asmr_foley	none	focus	source_review		Paper/writing source family. Verify individual file, duration, license page, and whether any person/voice is present.
b06_pixabay_fabric_index	b06_mixkit_foley	Pixabay	Pixabay fabric sound effects search	https://pixabay.com/sound-effects/search/fabric/	Pixabay Content License	asmr_foley	none	calm	source_review		Fabric/cloth movement candidate family. Verify no people/voice and no harsh swish before download.
b06_pixabay_towel_index	b06_mixkit_foley	Pixabay	Pixabay towel sound effects search	https://pixabay.com/sound-effects/search/towel/	Pixabay Content License	asmr_foley	none	calm	source_review	 hands bathroom	Some towel results may include bathroom/hand context. Only import clean fabric movement without people sounds.
b06_freesound_asmr_tag	b06_foley_tapping_cc0	Freesound	Freesound ASMR tag page	https://freesound.org/browse/tags/ASMR/	Mixed CC0/CC-BY/CC-BY-NC	mixed	mixed	calm,sleep	source_review	 chewing mouth music cat	Search page shows CC0, Attribution, and NonCommercial mix. Use CC0 first; reject NC and mouth/chewing/sexual/roleplay.
b06_freesound_finger_tap_838083	b06_foley_tapping_cc0	Freesound	Tapping a finger on the table	https://freesound.org/people/Pixel_Stick/sounds/838083/	unknown from search snippet	asmr_foley	none	focus	source_review	 person	Human action but not voice. Need exact license from page/API, no-voice listen, and startle QA before candidate download.
b06_freesound_breath_399291	b06_breath_cc0	Freesound	Breath	https://freesound.org/people/chestnutjam/sounds/399291/	Creative Commons 0	asmr_breath	breath	calm	downloaded_candidate		Breathing-like human sound. Requires ASMR listening QA for comfort, regularity, non-distress, and no random speech.
b06_freesound_deep_breath_426297	b06_breath_cc0	Freesound	Deep Breath	https://freesound.org/people/Diramus/sounds/426297/	Creative Commons 0	asmr_breath	breath	calm	downloaded_candidate		Breathing-like human sound. Requires ASMR listening QA for comfort, regularity, non-distress, and no random speech.
b06_freesound_sigh_786177	b06_breath_cc0	Freesound	Sigh	https://freesound.org/people/lucho_pancho/sounds/786177/	Creative Commons 0	asmr_breath	breath	calm	downloaded_candidate		Sigh/human breath can feel emotional or distressing. Requires ASMR listening QA before any promotion.
b06_pixabay_024340_tapping	b06_pixabay_tapping	Pixabay	024340_ASMR Tapping	https://pixabay.com/sound-effects/024340-asmr-tapping-69513/	Pixabay Content License	asmr_foley	none	calm,focus	source_review		Specific item page says free under Pixabay Content License. Download only after source snapshot and no-voice listening.
b06_pixabay_classroom_reject	b06_pixabay_paper	Pixabay	Pixabay classroom search	https://pixabay.com/sound-effects/search/classroom/	Pixabay Content License	unsafe_voice	unsafe_voice	reject	rejected	 classroom school students kids people	Reject as ASMR source for now; likely background people/students.
b06_freesound_sexual_reject	b06_whisper_soft_cc0	Freesound	Sexual sounds ASMR	https://freesound.org/people/Luvmazer/sounds/750384/	unknown from search snippet	unsafe_voice	unsafe_voice	reject	rejected	 sexual roleplay personal attention	Reject by policy: sexualized/personal attention content.
