candidate_id	source_title	previous_type	previous_scene	decision	reason	next_action
b06pf_freesound_pink_noise_meditation_332565	Pink Noise for Meditation and Sleep	soft_noise_bed	sleep_onset,return_to_sleep,focus	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_rain_window_pd_001	Rain against the window	soft_rain_window	sleep_onset,return_to_sleep,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_veranda_rain_thunder_pd_003	Rain on a veranda and thunder	rain_thunder_candidate	emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_meditation_suk_pd_004	Josef Suk - Meditation Op 35a	calm_music	emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_sound_of_rain_005	Sound of rain	soft_rain_bed	sleep_onset,return_to_sleep,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_light_rainfall_006	Sound of light rainfall	soft_rain_bed	sleep_onset,return_to_sleep,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_falling_rain_sfx_008	Falling Rain SFX	soft_rain_bed	sleep_onset,return_to_sleep,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_rain_roof_009	Rain on tiled roof	soft_rain_roof	sleep_onset,return_to_sleep,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_dripping_rain_010	Rain with dripping water	soft_rain_drip	emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_gray_noise_012	Gray noise	soft_noise_bed	sleep_onset,return_to_sleep,focus	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_brook_sound_013	Brook sound	soft_water_bed	meditative_breathing,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_river_noise_014	River noise	soft_water_bed	meditative_breathing,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_hemlock_stream_015	Hemlock stream	soft_water_bed	meditative_breathing,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_soft_wind_017	Wind	soft_wind_bed	sleep_onset,emotional_calming	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
b06pf_commons_wind_forest_018	Wind in pine forest	soft_wind_forest	emotional_calming,focus	rejected_quiet_state_fit	Project-owner review: the sound does not create a fast quiet state for sleep, meditation, or focus; it feels like noise or an odd recording rather than a calming experience.	Do not promote or route. Retain only as negative sourcing evidence.
