priority	candidate_id	title	source	source_url	creator	license	license_url	attribution_required	commercial_use	derivative_use	duration	target_goal	suggested_role	status	risk_notes
P0	fma-holizna-cosmic-waves	Cosmic Waves	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/cosmic-waves/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	33:04	sleep,calm	music.bed	album_license_verified_individual_recheck	Full-duration listening and individual-track license recheck required
P1	fma-holizna-too-brief	Too Brief A Time To Be Anything	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/too-brief-a-time-to-be-anything/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	45:00	calm,focus	music.bed	album_license_verified_individual_recheck	Very long; inspect dynamics and repetition before routing
P0	fma-holizna-meditation-01	20 Minute Meditation 1	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-1/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	21:19	calm,sleep	music.bed	album_license_verified_individual_recheck	Check bright highs, speech, and ending
P1	fma-holizna-meditation-02	20 Minute Meditation 2	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-2/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	20:02	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-03	20 Minute Meditation 3	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-3/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	19:59	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-04	20 Minute Meditation 4	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-4/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	19:59	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-05	20 Minute Meditation 5	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-5/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	19:59	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-06	20 Minute Meditation 6	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-6/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	19:59	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-07	20 Minute Meditation 7	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-7/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	19:59	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-08	20 Minute Meditation 8	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-8/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	20:11	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-09	20 Minute Meditation 9	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-9/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	19:47	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-10	20 Minute Meditation 10	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-10/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	20:59	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P1	fma-holizna-meditation-11	20 Minute Meditation 11	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-11/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	19:59	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
