listen_order	candidate_id	source_platform	source_title	source_url	license_name	license_url	content_type	voice_presence	product_scene	product_fit_hypothesis	local_path	duration_seconds	mean_volume_db	max_volume_db	startle_risk	listening_status	promotion_status	review_focus	listening_notes
01	b06pf_freesound_pink_noise_meditation_332565	Freesound	Pink Noise for Meditation and Sleep	https://freesound.org/people/011-_11919_1-1011111/sounds/332565/	Creative Commons 0	http://creativecommons.org/publicdomain/zero/1.0/	soft_noise_bed	none	sleep_onset,return_to_sleep,focus	Pink noise can support sleep or low-distraction focus if loudness and harshness are controlled; ignore any medical claims.	public/audio/candidates/batch-06/product-fit/b06pf_freesound_pink_noise_meditation_332565.mp3	32.00	-37.0	-3.3	medium	pending	qa_only	Product-fit question: does this actually feel useful for Sleep onset / Return to sleep / Focus, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption.	
02	b06pf_commons_rain_window_pd_001	Wikimedia Commons	Rain against the window	https://commons.wikimedia.org/wiki/File:Rain_against_the_window.ogg	Public domain	https://commons.wikimedia.org/wiki/File:Rain_against_the_window.ogg	soft_rain_window	none	sleep_onset,return_to_sleep,emotional_calming	Rain against a window is a direct sleep and calming bed if listening confirms no people, harsh transients, or loop fatigue.	public/audio/candidates/batch-06/product-fit/b06pf_commons_rain_window_pd_001.ogg	81.66	-31.0	-9.9	low	pending	qa_only	Product-fit question: does this actually feel useful for Sleep onset / Return to sleep / Emotional calming, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption.	
03	b06pf_commons_veranda_rain_thunder_pd_003	Wikimedia Commons	Rain on a veranda and thunder	https://commons.wikimedia.org/wiki/File:Rain_on_a_veranda_and_t.ogg	Public domain	https://commons.wikimedia.org/wiki/File:Rain_on_a_veranda_and_t.ogg	rain_thunder_candidate	none	emotional_calming	Veranda rain may be calming, but thunder needs explicit startle review and likely excludes sleep routing.	public/audio/candidates/batch-06/product-fit/b06pf_commons_veranda_rain_thunder_pd_003.ogg	29.99	-30.2	-8.4	low	pending	qa_only	Product-fit question: does this actually feel useful for Emotional calming, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption. Thunder/startle risk: approve only for explicit calming users, not default sleep routing.	
04	b06pf_commons_meditation_suk_pd_004	Wikimedia Commons	Josef Suk - Meditation Op 35a	https://commons.wikimedia.org/wiki/File:Josef_Suk_-_Meditation_Op_35a.ogg	Public domain	https://commons.wikimedia.org/wiki/File:Josef_Suk_-_Meditation_Op_35a.ogg	calm_music	none	emotional_calming	A public-domain meditation-labeled string work may fit emotional calming, but likely too foreground for sleep or focus unless mixed very low.	public/audio/candidates/batch-06/product-fit/b06pf_commons_meditation_suk_pd_004.ogg	405.46	-21.6	-0.8	high	pending	qa_only	Product-fit question: does this actually feel useful for Emotional calming, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption. Peak is high; likely needs normalization or rejection if it feels foreground/startling. Music foreground risk: approve only if it can sit quietly under the scene without pulling attention.	
05	b06pf_commons_sound_of_rain_005	Wikimedia Commons	Sound of rain	https://commons.wikimedia.org/wiki/File:Sound_of_rain.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Sound_of_rain.ogg	soft_rain_bed	none	sleep_onset,return_to_sleep,emotional_calming	General rain recording; product fit depends on steadiness and absence of people or harsh events.	public/audio/candidates/batch-06/product-fit/b06pf_commons_sound_of_rain_005.ogg	26.39	-42.2	-17.0	low	pending	qa_only	Product-fit question: does this actually feel useful for Sleep onset / Return to sleep / Emotional calming, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption.	
06	b06pf_commons_light_rainfall_006	Wikimedia Commons	Sound of light rainfall	https://commons.wikimedia.org/wiki/File:Sound_of_light_rainfall.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Sound_of_light_rainfall.ogg	soft_rain_bed	none	sleep_onset,return_to_sleep,emotional_calming	Light rainfall is likely sleep/calm relevant if it is steady and clean.	public/audio/candidates/batch-06/product-fit/b06pf_commons_light_rainfall_006.ogg	60.26	-22.9	-0.5	high	pending	qa_only	Product-fit question: does this actually feel useful for Sleep onset / Return to sleep / Emotional calming, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption. Peak is high; likely needs normalization or rejection if it feels foreground/startling.	
07	b06pf_commons_falling_rain_sfx_008	Wikimedia Commons	Falling Rain SFX	https://commons.wikimedia.org/wiki/File:Falling_Rain_SFX_1_2016-11-19.oga	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Falling_Rain_SFX_1_2016-11-19.oga	soft_rain_bed	none	sleep_onset,return_to_sleep,emotional_calming	Rain SFX may be useful as a clean bed if it does not feel synthetic or loop-fatiguing.	public/audio/candidates/batch-06/product-fit/b06pf_commons_falling_rain_sfx_008.oga	4333.52	-40.4	-13.9	low	pending	qa_only	Product-fit question: does this actually feel useful for Sleep onset / Return to sleep / Emotional calming, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption.	
08	b06pf_commons_rain_roof_009	Wikimedia Commons	Rain on tiled roof	https://commons.wikimedia.org/wiki/File:Regen_op_een_pannendak_-_SoundCloud_-_Beeld_en_Geluid.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Regen_op_een_pannendak_-_SoundCloud_-_Beeld_en_Geluid.ogg	soft_rain_roof	none	sleep_onset,return_to_sleep,emotional_calming	Rain on a roof can be strong sleep material if no voices, traffic, or abrupt events are present.	public/audio/candidates/batch-06/product-fit/b06pf_commons_rain_roof_009.ogg	651.64	-31.2	0.0	high	pending	qa_only	Product-fit question: does this actually feel useful for Sleep onset / Return to sleep / Emotional calming, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption. Peak is high; likely needs normalization or rejection if it feels foreground/startling.	
09	b06pf_commons_dripping_rain_010	Wikimedia Commons	Rain with dripping water	https://commons.wikimedia.org/wiki/File:Regen_met_druipwater_-_SoundCloud_-_Beeld_en_Geluid.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Regen_met_druipwater_-_SoundCloud_-_Beeld_en_Geluid.ogg	soft_rain_drip	none	emotional_calming	Dripping rain may be calming but needs review for repetitive drip annoyance and water sensitivity.	public/audio/candidates/batch-06/product-fit/b06pf_commons_dripping_rain_010.ogg	372.64	-30.5	-1.1	medium	pending	qa_only	Product-fit question: does this actually feel useful for Emotional calming, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption.	
10	b06pf_commons_gray_noise_012	Wikimedia Commons	Gray noise	https://commons.wikimedia.org/wiki/File:Gray_noise.ogg	review_from_commons_page	https://commons.wikimedia.org/wiki/File:Gray_noise.ogg	soft_noise_bed	none	sleep_onset,return_to_sleep,focus	Gray noise may be softer than white noise for sleep/focus, pending harshness review.	public/audio/candidates/batch-06/product-fit/b06pf_commons_gray_noise_012.ogg	10.00	-12.8	-1.0	high	pending	qa_only	Product-fit question: does this actually feel useful for Sleep onset / Return to sleep / Focus, or does it still feel arbitrary? Confirm no speech, conversation, laughter, crowd, or other human interruption. Peak is high; likely needs normalization or rejection if it feels foreground/startling.	
