stem_id	category	name	source_audio_url	final_local_path	final_audio_url	file_sha256	file_size_bytes	duration_seconds	codec	sample_rate	channels	integrated_lufs	sample_peak_dbfs	opening_20s_peak_dbfs	max_100ms_rms_jump_db	clipped_sample_count	interior_silence_100ms_frames	machine_qa	machine_qa_notes	remediation_action	original_blocker	license_name	license_url	attribution_required	commercial_use_allowed	derivative_use_allowed	raw_redistribution_allowed	promotion_status
stem_mixkit_music_583	Music	Crystal Meditation	/audio/music/batch-03/crystal_meditation.mp3	public/audio/production-remediated-2026-07-13/music/crystal_meditation.mp3	/audio/production-remediated-2026-07-13/music/crystal_meditation.mp3	dceb879c066c419298d2633c8030b1be9341c09840b9e4c5ba7c073da47bf104	6233340	297.461521	mp3	48000	2	-16.54	-2.86	-4.73	29.29	0	2	warn	100ms jump 29.29 dB	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	true_peak_near_zero	Mixkit Stock Music Free License	https://mixkit.co/license/	false	true	true	false	needs_editorial_acceptance
stem_mixkit_music_31	Music	Dreaming Soft Piano	/audio/music/batch-03/dreaming_big_soft_piano.mp3	public/audio/production-remediated-2026-07-13/music/dreaming_soft_piano.mp3	/audio/production-remediated-2026-07-13/music/dreaming_soft_piano.mp3	6a2a685c2ec4009e249a4e70037a0dc53f6029b3eeb5b414a3a078fde4961bae	2519517	110.383854	mp3	48000	2	-16.54	-4.15	-6.46	24.62	0	28	warn	100ms jump 24.62 dB	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	true_peak_near_zero	Mixkit Stock Music Free License	https://mixkit.co/license/	false	true	true	false	needs_editorial_acceptance
stem_mixkit_music_340	Music	Nap Time Pad	/audio/music/batch-03/nap_time_pad.mp3	public/audio/production-remediated-2026-07-13/music/nap_time_pad.mp3	/audio/production-remediated-2026-07-13/music/nap_time_pad.mp3	57cc96e4c37ff10739084fabbb9ef0027adfb86687b29d16716c751cfeccffa4	2285277	103.225	mp3	48000	2	-16.81	-4.34	-6.74	15.07	0	1	pass	No machine threshold warnings	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	true_peak_near_zero	Mixkit Stock Music Free License	https://mixkit.co/license/	false	true	true	false	approved
stem_mixkit_music_22	Music	Piano Reflections	/audio/music/batch-03/piano_reflections.mp3	public/audio/production-remediated-2026-07-13/music/piano_reflections.mp3	/audio/production-remediated-2026-07-13/music/piano_reflections.mp3	88435f56eb679b770d14c54f17e326fcfb743697206df5e8d8a3e45fabf6781b	3997802	186.828833	mp3	48000	2	-17.33	-3.73	-6.62	92.22	0	0	warn	100ms jump 92.22 dB	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	true_peak_above_zero	Mixkit Stock Music Free License	https://mixkit.co/license/	false	true	true	false	needs_editorial_acceptance
stem_mixkit_music_599	Music	Possible Dreams Piano	/audio/music/batch-03/possible_dreams.mp3	public/audio/production-remediated-2026-07-13/music/possible_dreams_piano.mp3	/audio/production-remediated-2026-07-13/music/possible_dreams_piano.mp3	c8e1a2361544f928bcda8a14c70e77033c5464229431b5e2b0f075306b9d78f8	3573948	159.313458	mp3	48000	2	-17.59	-2.34	-3.48	65.94	0	94	warn	100ms jump 65.94 dB; 94 interior silence frames	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	true_peak_near_zero	Mixkit Stock Music Free License	https://mixkit.co/license/	false	true	true	false	needs_editorial_acceptance
stem_mixkit_music_759	Music	Soft Evening Guitar	/audio/music/batch-03/romantic_soft_guitar.mp3	public/audio/production-remediated-2026-07-13/music/soft_evening_guitar.mp3	/audio/production-remediated-2026-07-13/music/soft_evening_guitar.mp3	e1c5d474039c7c0b340dafaa984e0ed646b602d434f5444bd2543d6bd31e32f9	2506653	112.013063	mp3	48000	2	-17.46	-1.62	-1.62	35.43	0	42	warn	100ms jump 35.43 dB	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	true_peak_above_zero	Mixkit Stock Music Free License	https://mixkit.co/license/	false	true	true	false	needs_editorial_acceptance
stem_mixkit_music_184	Music	Vastness Ambient Pad	/audio/music/batch-03/vastness_pad.mp3	public/audio/production-remediated-2026-07-13/music/vastness_ambient_pad.mp3	/audio/production-remediated-2026-07-13/music/vastness_ambient_pad.mp3	e27c8b1ad54ee69f8e54ea0e6d350642b7e272e2b63fc5ee9fbad99e55e7af6b	5148405	229.819917	mp3	48000	2	-17.9	-4.44	-4.44	20.54	0	1	pass	No machine threshold warnings	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	true_peak_near_zero	Mixkit Stock Music Free License	https://mixkit.co/license/	false	true	true	false	approved
stem_mixkit_17	Nature	Birds Singing in Trees	/audio/nature/batch-04/birds_in_trees.wav	public/audio/production-remediated-2026-07-13/nature/birds_singing_in_trees.mp3	/audio/production-remediated-2026-07-13/nature/birds_singing_in_trees.mp3	2a5fb4dc3c9579842662fa785d070393ddf927e0909356bdd2486f96feb554fe	1225677	90	mp3	48000	2	-23.97	-14.12	-14.12	49.3	0	69	warn	100ms jump 49.3 dB	ffmpeg stream_loop to 90s, loudnorm I=-24 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	short_duration_loop_risk	Mixkit Sound Effects Free License	https://mixkit.co/license/	false	true	true	false	needs_editorial_acceptance
stem_mixkit_1329	Nature	Burning Campfire Crackles	/audio/nature/batch-04/burning_campfire.wav	public/audio/production-remediated-2026-07-13/nature/burning_campfire_crackles.mp3	/audio/production-remediated-2026-07-13/nature/burning_campfire_crackles.mp3	b37407e806ea89e2e205c5de6922f320553a0f36a4fa17d340516e79d182c73f	3494229	90	mp3	48000	2	-26.81	-1.88	-1.88	85.17	0	8	warn	100ms jump 85.17 dB	ffmpeg stream_loop to 90s, loudnorm I=-24 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	very_low_loudness_short_duration	Mixkit Sound Effects Free License	https://mixkit.co/license/	false	true	true	false	needs_editorial_acceptance
stem_mixkit_2397	Nature	Clear Rain Thunderstorm	/audio/nature/batch-04/clear_rain_thunderstorm.wav	public/audio/production-remediated-2026-07-13/nature/clear_rain_thunderstorm.mp3	/audio/production-remediated-2026-07-13/nature/clear_rain_thunderstorm.mp3	0651d8e06810de225fad987e816afb13548bf6bfbacec27195008a3d6abd6a1d	2137718	90	mp3	48000	2	-26.47	-1.89	-8.13	17.65	0	0	pass	No machine threshold warnings	ffmpeg stream_loop to 90s, loudnorm I=-24 LRA=10 TP=-2, stereo, 48kHz MP3 production copy	true_peak_above_zero	Mixkit Sound Effects Free License	https://mixkit.co/license/	false	true	true	false	approved
