item_id	slug	name	family	tags	default_volume	recommended_scene
614	silent_descent	Silent Descent Piano	piano	Piano,Sparse,Night	20	bedtime
22	piano_reflections	Piano Reflections	piano	Piano,Reflective,Slow	20	emotional settling
599	possible_dreams	Possible Dreams Piano	piano	Piano,Dreamy,Soft	19	bedtime
31	dreaming_big_soft_piano	Dreaming Soft Piano	piano	Piano,Warm,Dreamy	19	relaxation
587	discover_quiet_piano	Quiet Discovery Piano	piano	Piano,Gentle,Calm	18	light meditation
127	valley_sunset_pad	Valley Sunset Pad	pad	Ambient,Pad,Sunset	18	evening wind-down
184	vastness_pad	Vastness Ambient Pad	pad	Ambient,Wide,Slow	18	deep relaxation
584	rest_now_pad	Rest Now Pad	pad	Ambient,Rest,Soft	17	bedtime
593	opalescent_pad	Opalescent Pad	pad	Ambient,Airy,Dreamy	17	meditation
340	nap_time_pad	Nap Time Pad	pad	Ambient,Nap,Calm	17	short rest
109	deep_meditation_drone	Deep Meditation Drone	drone	Drone,Deep,Meditation	16	deep relaxation
251	ambient_low_bed	Ambient Low Bed	drone	Drone,Ambient,Low	16	sleep
588	feedback_dreams_drone	Feedback Dreams Drone	drone	Drone,Dreamy,Slow	15	sleep
139	spirit_woods_drone	Spirit Woods Drone	drone	Drone,Forest,Atmosphere	15	nature meditation
583	crystal_meditation	Crystal Meditation	bowl	Crystal,Bell,Meditation	14	breathing
441	meditation_tones	Meditation Tones	bowl	Bell,Tones,Meditation	14	body scan
493	beautiful_dream_guitar	Beautiful Dream Guitar	guitar	Guitar,Dreamy,Soft	18	bedtime
522	relaxing_nature_guitar	Relaxing Nature Guitar	guitar	Guitar,Nature,Gentle	18	relaxation
759	romantic_soft_guitar	Soft Evening Guitar	guitar	Guitar,Warm,Slow	17	evening wind-down
