candidate_id	source_batch	source_platform	source_title	source_url	license_name	license_url	category	scene_family	recommended_scene	local_path	file_sha256	duration_seconds	codec	sample_rate	channels	default_volume	tags	title_voice_risk	qa_status	qa_notes	machine_status	hash_matches	measured_duration_seconds	measured_codec	measured_sample_rate	measured_channels	mean_volume_db	max_volume_db	machine_warnings	machine_failures	human_voice_policy
b04_mixkit_2390	batch-04	Mixkit	Rain and Thunder Storm	https://mixkit.co/free-sound-effects/rain	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	rain	storm ambience	public/audio/nature/batch-04/rain_thunder_storm.wav	69ca82bbd8b98b94caabf8ffe04e95c4821965a7c1fbb3f028778091520bfb03	29.00	pcm_s16le	44100	2	10	Rain,Thunder,Storm	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	warn	true	29.00	pcm_s16le	44100	2	-24.4	-0.2	peak close to 0 dBFS; clipping/transient QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2415	batch-04	Mixkit	Calm Jungle Thunderstorm	https://mixkit.co/free-sound-effects/rain	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	rain	deep nature	public/audio/nature/batch-04/calm_jungle_thunderstorm.wav	4c4ee2979e5b33b10e0a9552da1946ea004b1d7111b5df018873d7340e6fab60	49.00	pcm_s16le	44100	2	10	Rain,Thunder,Jungle	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	49.00	pcm_s16le	44100	2	-27.1	-1.6			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2399	batch-04	Mixkit	Heavy Rain Drops	https://mixkit.co/free-sound-effects/rain	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	rain	focus	public/audio/nature/batch-04/heavy_rain_drops.wav	4917056d6e09b32045cfc1207047a84c524265a33b0d5d8970d1fe59a47260c0	12.17	pcm_s16le	44100	2	12	Rain,Heavy,Masking	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	warn	true	12.17	pcm_s16le	44100	2	-23.8	-2.9	nature bed is short; loop fatigue QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2397	batch-04	Mixkit	Clear Rain Thunderstorm	https://mixkit.co/free-sound-effects/rain	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	rain	storm ambience	public/audio/nature/batch-04/clear_rain_thunderstorm.wav	28e4c97d939a0c4769d7e56aba9f6dfe92efce9d0240a847dca1fe63ee5cfdd1	44.22	pcm_s16le	44100	2	10	Rain,Thunder,Clear	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	warn	true	44.22	pcm_s16le	44100	2	-28.1	0	peak close to 0 dBFS; clipping/transient QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2431	batch-04	Mixkit	Jungle Rain with Birds	https://mixkit.co/free-sound-effects/rain	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	rain	morning nature	public/audio/nature/batch-04/jungle_rain_birds.wav	9c43f3205c996c81e6af14df186c612333df4c636eb1ac8bd83dc3530d234ab1	30.17	pcm_s24le	44100	2	11	Rain,Jungle,Birds	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	30.17	pcm_s24le	44100	2	-33.1	-7.3			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2402	batch-04	Mixkit	Thunderstorm Rain Loop	https://mixkit.co/free-sound-effects/rain	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	rain	storm ambience	public/audio/nature/batch-04/thunderstorm_rain_loop.wav	4e24e73f469cca61f518b509fdcee1d24897ffb19a8f3a3a2f783f1073af678b	52.75	pcm_s16le	44100	2	10	Rain,Thunder,Loop	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	warn	true	52.75	pcm_s16le	44100	2	-25.6	-0.2	peak close to 0 dBFS; clipping/transient QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1194	batch-04	Mixkit	Rough Sea Waves	https://mixkit.co/free-sound-effects/ocean	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	ocean	coastal ambience	public/audio/nature/batch-04/rough_sea_waves.wav	d032ca4cf1eac434d340114af6e5b8a77bb1773bec32cf39c2b3b72f41b5621c	70.84	pcm_s16le	44100	2	11	Ocean,Rough,Waves	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	warn	true	70.84	pcm_s16le	44100	2	-18.2	-0.1	peak close to 0 dBFS; clipping/transient QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1181	batch-04	Mixkit	Sea Swimming Loop	https://mixkit.co/free-sound-effects/ocean	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	ocean	water relaxation	public/audio/nature/batch-04/sea_swimming_loop.wav	dc69746cffcff89594b86c157e9980f5a4e7ea4d6958ecc394cc49789a7acdc7	10.35	pcm_s16le	44100	2	13	Ocean,Water,Loop	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	warn	true	10.35	pcm_s16le	44100	2	-22.2	-0.1	nature bed is short; loop fatigue QA required; peak close to 0 dBFS; clipping/transient QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1206	batch-04	Mixkit	Coast Breaking Waves	https://mixkit.co/free-sound-effects/ocean	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	ocean	coastal ambience	public/audio/nature/batch-04/coast_breaking_waves.wav	985cdae6e5b6d153bfac87dcbeea4a8b42974d9ffc86023eeabcafb67e93d462	120.15	pcm_s24le	44100	2	11	Ocean,Coast,Waves	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	120.15	pcm_s24le	44100	2	-20.2	-0.5			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1202	batch-04	Mixkit	Sea Wave Noise	https://mixkit.co/free-sound-effects/ocean	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	ocean	focus	public/audio/nature/batch-04/sea_wave_noise.wav	5aca135eb8b3fe5b57c48009c9d8c6e3fd957bcf512c5f6dfae11e4970c420c8	2.89	pcm_s16le	44100	2	12	Ocean,Noise,Masking	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	fail	true	2.89	pcm_s16le	44100	2	-20.4	-1	nature bed is short; loop fatigue QA required	nature bed is too short for routing	Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
